neuron_count,repeat_id,train_size,test_size,mae_circular_deg,median_ae_circular_deg,model_type,shuffle_control
10,0,3679,919,17.4467,10.3868,OLS,False
10,1,3679,919,28.2664,17.6233,OLS,False
10,2,3679,919,18.184,10.4331,OLS,False
10,3,3679,919,13.7404,8.9053,OLS,False
10,4,3679,919,15.505,9.6388,OLS,False
10,5,3679,919,21.0619,12.6555,OLS,False
10,6,3679,919,20.5417,11.3212,OLS,False
10,7,3679,919,20.1342,11.6191,OLS,False
10,8,3679,919,23.3011,13.9325,OLS,False
10,9,3679,919,21.4636,10.6226,OLS,False
10,10,3679,919,13.4561,9.5546,OLS,False
10,11,3679,919,22.774,13.7461,OLS,False
10,12,3679,919,21.1777,12.7668,OLS,False
10,13,3679,919,27.2598,15.8681,OLS,False
10,14,3679,919,17.2258,11.3173,OLS,False
10,15,3679,919,16.9122,10.5965,OLS,False
10,16,3679,919,19.4102,12.2915,OLS,False
10,17,3679,919,25.6308,15.8856,OLS,False
10,18,3679,919,22.0861,12.2937,OLS,False
10,19,3679,919,13.5311,9.4731,OLS,False
25,0,3679,919,9.399,6.1381,OLS,False
25,1,3679,919,10.6635,6.3968,OLS,False
25,2,3679,919,9.3307,6.7199,OLS,False
25,3,3679,919,10.0073,6.5218,OLS,False
25,4,3679,919,9.8741,6.7969,OLS,False
25,5,3679,919,10.1436,6.8148,OLS,False
25,6,3679,919,9.2976,6.0056,OLS,False
25,7,3679,919,8.3317,6.007,OLS,False
25,8,3679,919,9.6001,6.1691,OLS,False
25,9,3679,919,11.7618,6.2852,OLS,False
25,10,3679,919,8.9328,6.2484,OLS,False
25,11,3679,919,12.5778,7.6928,OLS,False
25,12,3679,919,13.3502,7.5733,OLS,False
25,13,3679,919,9.7667,6.7611,OLS,False
25,14,3679,919,8.4418,5.9179,OLS,False
25,15,3679,919,12.5036,7.4299,OLS,False
25,16,3679,919,8.4381,5.7088,OLS,False
25,17,3679,919,9.7038,6.67,OLS,False
25,18,3679,919,10.4103,6.7855,OLS,False
25,19,3679,919,12.7872,7.8393,OLS,False
50,0,3679,919,6.3083,4.8724,OLS,False
50,1,3679,919,6.0316,4.6891,OLS,False
50,2,3679,919,6.3343,4.5035,OLS,False
50,3,3679,919,4.8442,3.8751,OLS,False
50,4,3679,919,6.6052,4.8651,OLS,False
50,5,3679,919,6.1311,4.6032,OLS,False
50,6,3679,919,5.8523,4.4382,OLS,False
50,7,3679,919,7.143,5.295,OLS,False
50,8,3679,919,6.6707,4.7456,OLS,False
50,9,3679,919,6.1903,4.7662,OLS,False
50,10,3679,919,5.389,4.1981,OLS,False
50,11,3679,919,6.6318,4.6426,OLS,False
50,12,3679,919,7.0987,4.8549,OLS,False
50,13,3679,919,7.097,4.9427,OLS,False
