neuron_count,repeat_id,mae_circular_deg,median_ae_circular_deg,source
10,0,31.9602,24.0337,random_full_population
10,1,35.5762,31.4192,random_full_population
10,2,29.3739,22.4175,random_full_population
10,3,30.0694,23.005,random_full_population
10,4,27.6876,20.2997,random_full_population
10,5,24.3579,17.3227,random_full_population
10,6,30.4138,23.6193,random_full_population
10,7,31.2226,25.1997,random_full_population
10,8,32.6145,27.0441,random_full_population
10,9,36.6846,32.2456,random_full_population
25,0,20.5343,13.9963,random_full_population
25,1,20.8405,14.0084,random_full_population
25,2,18.5629,12.2989,random_full_population
25,3,22.4009,16.4797,random_full_population
25,4,22.951,15.8409,random_full_population
25,5,22.2522,16.059,random_full_population
25,6,23.3178,16.5168,random_full_population
25,7,23.0086,16.0328,random_full_population
25,8,19.6458,13.2741,random_full_population
25,9,22.5123,15.2825,random_full_population
50,0,19.1007,13.0535,random_full_population
50,1,16.938,11.0635,random_full_population
50,2,20.1327,13.2783,random_full_population
50,3,15.5053,10.3302,random_full_population
50,4,14.5023,9.985,random_full_population
50,5,16.2879,10.717,random_full_population
50,6,16.8333,11.3689,random_full_population
50,7,14.7954,10.3542,random_full_population
50,8,17.0421,11.0811,random_full_population
50,9,13.099,9.3684,random_full_population
100,0,9.6406,6.9388,random_full_population
100,1,12.539,8.4882,random_full_population
100,2,10.6825,7.3872,random_full_population
100,3,9.683,6.7887,random_full_population
100,4,10.0729,7.1624,random_full_population
100,5,10.2167,7.0116,random_full_population
100,6,9.623,6.9678,random_full_population
100,7,10.9077,7.6446,random_full_population
100,8,10.7441,7.7062,random_full_population
100,9,11.9246,8.2724,random_full_population
250,0,6.0998,4.712,random_full_population
250,1,6.2903,4.82,random_full_population
250,2,6.1427,4.7518,random_full_population
250,3,6.234,4.7028,random_full_population
250,4,5.9524,4.6678,random_full_population
250,5,7.2718,5.5209,random_full_population
250,6,6.3238,4.8779,random_full_population
250,7,7.0642,5.2957,random_full_population
250,8,6.3212,4.8794,random_full_population
250,9,6.7526,5.2779,random_full_population
500,0,5.4666,4.3589,random_full_population
500,1,5.5,4.3977,random_full_population
500,2,5.4442,4.2545,random_full_population
500,3,5.4766,4.3941,random_full_population
500,4,5.9345,4.6731,random_full_population
500,5,5.1653,4.113,random_full_population
500,6,5.6777,4.3939,random_full_population
500,7,4.9763,3.9683,random_full_population
500,8,5.5511,4.3064,random_full_population
500,9,4.8473,3.8846,random_full_population
1000,0,4.9503,3.9843,random_full_population
1000,1,4.9437,3.8518,random_full_population
1000,2,4.7734,3.7007,random_full_population
1000,3,4.7998,3.8107,random_full_population
1000,4,4.9889,3.9573,random_full_population
1000,5,5.2246,4.2002,random_full_population
1000,6,4.9752,3.9949,random_full_population
1000,7,4.7171,3.7345,random_full_population
1000,8,4.9767,3.8945,random_full_population
1000,9,5.0248,4.0251,random_full_population
2000,0,5.3616,4.1212,random_full_population
2000,1,5.5281,4.3331,random_full_population
2000,2,5.5379,4.363,random_full_population
2000,3,5.389,4.1518,random_full_population
2000,4,5.3623,4.1555,random_full_population
2000,5,5.7247,4.4514,random_full_population
2000,6,5.3578,4.1452,random_full_population
2000,7,5.7922,4.6276,random_full_population
2000,8,5.5874,4.269,random_full_population
2000,9,5.6575,4.3713,random_full_population
5000,0,7.4956,5.5494,random_full_population
5000,1,7.8624,5.7994,random_full_population
5000,2,7.8066,5.6418,random_full_population
5000,3,7.7946,5.6899,random_full_population
5000,4,7.8092,5.6008,random_full_population
5000,5,7.7522,5.5633,random_full_population
5000,6,7.7299,5.5921,random_full_population
5000,7,7.4626,5.2922,random_full_population
5000,8,7.7731,5.627,random_full_population
5000,9,7.5766,5.4846,random_full_population
