neuron_count,mae_mean,mae_std,medae_mean,n_repeats,source
10,19.95544,4.304644135716435,12.046575,20,top_1000_pool
25,10.266085,1.5326736176316895,6.62411,20,top_1000_pool
50,6.334210000000001,0.6638186110043838,4.669065,20,top_1000_pool
100,4.48421,0.2360048569972993,3.510505,20,top_1000_pool
250,3.439725,0.1024480760652618,2.796185,20,top_1000_pool
500,2.98463,0.085180650755661,2.428205,20,top_1000_pool
1000,2.8041,,2.2787,1,top_1000_pool
10,30.996069999999996,3.5866667964838888,24.66065,10,random_full_population
25,21.602629999999998,1.61295623557767,14.97894,10,random_full_population
50,16.42367,2.1080895601099217,11.06001,10,random_full_population
100,10.60341,0.9875356471203118,7.43679,10,random_full_population
250,6.4452799999999995,0.43630976712524894,4.95062,10,random_full_population
500,5.40396,0.324520460577347,4.27445,10,random_full_population
1000,4.93745,0.14541744698931008,3.9153999999999995,10,random_full_population
2000,5.529850000000001,0.1606547108276351,4.29891,10,random_full_population
5000,7.70628,0.14163524200486907,5.5840499999999995,10,random_full_population
