metric,value
n_neurons_total,23589.0
n_fits_successful,23589.0
frac_success,1.0
r2_mean,0.6902619890422422
r2_median,0.7533822651405977
r2_std,0.24378889027493
r2_q25,0.5333499029940036
r2_q75,0.8942597641689793
kappa_mean,6.949831738414471
kappa_median,3.826027493580135
kappa_std,9.471544956716132
kappa_q25,1.3158049852705522
kappa_q75,8.233818316951735
kappa_lt_1,5210.0
kappa_1_to_5,8786.0
kappa_5_to_10,4850.0
kappa_gt_10,4743.0
pref_orientation_mean,91.89876625759587
pref_orientation_std,52.284049330594556
baseline_mean,-3403.234612587015
baseline_median,2.610319923133193
amplitude_mean,3409.127768989098
amplitude_median,0.23446445422245923
r2_gt_0.5,18352.0
r2_gt_0.8,10044.0
r2_gt_0.9,5614.0
